legs	squat		6x83kg
	isquio		10x41kg


chest	incline bench press		9x70kg
	peck deck		5x60kg

leg	squat		7x83kg
	isquio		8x45kg
	panto		12x25lb

back	supine		8x72kg
	gironda

legs	squat	3x100kg	6x90kg
	isquio		10x41kg
	panto

chest	incline bench press		5x80	4x75kg
	peck deck		6x60kg

legs	squat		6x100kg
	isquio		12x41kg

back	pull up lastrada		2x40kg	3x35kg	3x30kg	3x25kg
	supine pull up		11x63kg
	gironda		10x54kg

legs	squat		7x100kg
	isquio		10x50kg
	panto		15x15kg

chest	incline bench press		5x80kg	3x80kg	4x75kg	3x75kg
	peck dexk		10x70kg
	dips		20kg al fallo-19

back	Pull up con peso		6x73kg	4x73kg	3x76kg
	gironda		10x54kg
	dips		20x20kg
