semana,dia,enfoque,fase_semana,bloque,ejercicio,series,reps_o_tiempo,,carga_sugerida,rpe_rir,tempo,descanso,objetivo,regla_tendon_24h,progresion,notas
1,D1 Push,Hipertrofia pecho/hombro + descarga tendón hombro/codo,"Base/analgesia: tempo lento, RIR 3-4, sin fallo",Tendón/activación,"Isométrico empuje mid-range (pared o barra, sin dolor)",3-5,30-45 s,,40-60% esfuerzo,dolor <=3/10,isométrico,60-90 s,Analgesia y tolerancia de tendón antes de empujar,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.",Codo/hombro en posición cómoda; no busques temblor máximo.
1,D1 Push,Hipertrofia pecho/hombro + descarga tendón hombro/codo,"Base/analgesia: tempo lento, RIR 3-4, sin fallo",Principal,Incline bench press,4,8,,62.5,RIR 3-4,3-1-2,2-3 min,Hipertrofia y fuerza submáxima basada en 70x10/80x5,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.","No fallo; barra siempre rápida. Si hombro se siente raro, usa agarre un poco más cerrado."
1,D1 Push,Hipertrofia pecho/hombro + descarga tendón hombro/codo,"Base/analgesia: tempo lento, RIR 3-4, sin fallo",Accesorio,Peck deck,3,12,,55,RIR 3,3-1-2,90-120 s,Volumen de pecho con baja demanda técnica,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.",Mantén escápulas fijas; no estires agresivo abajo.
1,D1 Push,Hipertrofia pecho/hombro + descarga tendón hombro/codo,"Base/analgesia: tempo lento, RIR 3-4, sin fallo",Accesorio,Shoulder press,3,10,,32,RIR 3,3-1-2,2 min,Deltoide/press sin llegar al límite,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.","Recorrido limpio; si molesta, cambia a mancuernas o landmine."
1,D1 Push,Hipertrofia pecho/hombro + descarga tendón hombro/codo,"Base/analgesia: tempo lento, RIR 3-4, sin fallo",Accesorio controlado,Dips,3,8,,BW,RIR 4,3-1-2,2 min,Mantener patrón sin irritar tendón anterior/hombro,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.",Prohibido fallo las primeras 7 semanas; profundidad solo hasta donde no moleste.
1,D1 Push,Hipertrofia pecho/hombro + descarga tendón hombro/codo,"Base/analgesia: tempo lento, RIR 3-4, sin fallo",Prehab,Rotación externa banda/cable,3,15-20,,ligero,RIR 4,2-1-2,45-60 s,Manguito rotador y estabilidad escapular,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.","Que queme músculo, no tendón/articulación."
1,D2 Pull,Hipertrofia espalda/bíceps + tolerancia tendón codo,"Base/analgesia: tempo lento, RIR 3-4, sin fallo",Tendón/activación,Isométrico curl martillo a 90°,3-5,30-45 s,,moderado,dolor <=3/10,isométrico,60-90 s,Preparar tendón de bíceps/antebrazo,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.","Muñeca neutra; si se irrita, cambia por agarre pronado."
1,D2 Pull,Hipertrofia espalda/bíceps + tolerancia tendón codo,"Base/analgesia: tempo lento, RIR 3-4, sin fallo",Principal,Supine pull-up / dominada supina,4,8,,BW,RIR 3-4,3-1-2,2-3 min,Mantener fuerza con menos estrés que tus +40 kg pesados,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.","Pecho hacia barra, bajada lenta; no busques fallo."
1,D2 Pull,Hipertrofia espalda/bíceps + tolerancia tendón codo,"Base/analgesia: tempo lento, RIR 3-4, sin fallo",Principal accesorio,Gironda row,3,12,,50,RIR 3,3-1-2,2 min,Volumen de dorsales/romboides basado en 54x10,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.",Pausa 1s contraído; evita tirones.
1,D2 Pull,Hipertrofia espalda/bíceps + tolerancia tendón codo,"Base/analgesia: tempo lento, RIR 3-4, sin fallo",Control escapular,Scap pull-ups,3,10-12,,BW,RIR 4,2-1-2,60-90 s,Técnica de dominada y descarga de codo,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.","Solo movimiento escapular, brazos largos."
